Event	Date/Time	Latitude	Longitude	Elevation [m]	Diff
PG07	2012-09-27	-62.235228	-58.616384	188.6	0.20
PG07	2012-10-09	-62.235228	-58.616384	188.6	0.15
PG07	2012-10-18	-62.235228	-58.616384	188.6	0.00
PG07	2012-10-27	-62.235228	-58.616384	188.6	0.17
PG07	2012-11-03	-62.235228	-58.616384	188.6	0.01
PG07	2012-11-10	-62.235228	-58.616384	188.6	-0.01
PG07	2012-11-24	-62.235228	-58.616384	188.6	-0.09
PG07	2012-12-05	-62.235228	-58.616384	188.6	0.00
PG07	2012-12-14	-62.235228	-58.616384	188.6	0.00
PG07	2012-12-22	-62.235228	-58.616384	188.6	-0.02
PG07	2013-01-05	-62.235228	-58.616384	188.6	-0.02
PG07	2013-01-15	-62.235228	-58.616384	188.6	0.02
PG07	2013-01-23	-62.235228	-58.616384	188.6	-0.28
PG07	2013-02-01	-62.235228	-58.616384	188.6	-0.08
PG07	2013-02-11	-62.235228	-58.616384	188.6	-0.21
PG07	2013-02-19	-62.235228	-58.616384	188.6	-0.08
PG07	2013-02-27	-62.235228	-58.616384	188.6	-0.13
PG07	2013-03-06	-62.235228	-58.616384	188.6	-0.07
PG07	2013-04-01	-62.235228	-58.616384	188.6	-0.49
PG07	2013-04-11	-62.235228	-58.616384	188.6	-0.32
PG07	2013-05-04	-62.235228	-58.616384	188.6	0.25
PG07	2013-05-24	-62.235228	-58.616384	188.6	0.04
PG07	2013-06-25	-62.235228	-58.616384	188.6	0.52
PG07	2013-07-24	-62.235228	-58.616384	188.6	0.27
PG07	2013-08-01	-62.235228	-58.616384	188.6	0.10
PG07	2013-08-24	-62.235228	-58.616384	188.6	-0.01
PG07	2013-09-12	-62.235228	-58.616384	188.6	0.04
PG07	2013-09-27	-62.235228	-58.616384	188.6	0.03
PG07	2013-10-10	-62.235228	-58.616384	188.6	-0.04
PG07	2013-10-20	-62.235228	-58.616384	188.6	-0.13
PG07	2013-11-06	-62.235228	-58.616384	188.6	0.03
PG07	2013-11-26	-62.235228	-58.616384	188.6	-0.07
PG07	2013-12-16	-62.235228	-58.616384	188.6	0.05
PG07	2014-01-03	-62.235228	-58.616384	188.6	0.06
PG07	2014-01-21	-62.235228	-58.616384	188.6	-0.33
PG07	2014-01-31	-62.235228	-58.616384	188.6	0.08
PG07	2014-02-10	-62.235228	-58.616384	188.6	0.10
PG07	2014-02-18	-62.235228	-58.616384	188.6	-0.26
PG07	2014-02-28	-62.235228	-58.616384	188.6	-0.07
PG07	2014-03-10	-62.235228	-58.616384	188.6	-0.16
PG07	2014-03-23	-62.235228	-58.616384	188.6	0.41
PG07	2014-04-09	-62.235228	-58.616384	188.6	-0.25
PG07	2014-04-30	-62.235228	-58.616384	188.6	-0.08
PG07	2014-05-09	-62.235228	-58.616384	188.6	0.04
PG07	2014-05-22	-62.235228	-58.616384	188.6	0.19
PG07	2014-06-05	-62.235228	-58.616384	188.6	0.55
PG07	2014-06-19	-62.235228	-58.616384	188.6	-0.01
PG07	2014-07-11	-62.235228	-58.616384	188.6	0.10
PG07	2014-07-31	-62.235228	-58.616384	188.6	-0.09
PG07	2014-08-30	-62.235228	-58.616384	188.6	0.21
PG07	2014-09-10	-62.235228	-58.616384	188.6	0.01
PG07	2014-09-29	-62.235228	-58.616384	188.6	0.05
PG07	2014-10-31	-62.235228	-58.616384	188.6	-0.03
PG07	2014-11-15	-62.235228	-58.616384	188.6	0.00
PG07	2014-11-30	-62.235228	-58.616384	188.6	0.15
