Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB	SMB1	SMB_diff
R1	2011-08-07	2011-07-19	-62.1776204178	-58.902405662700005	82.0	19	0.3392	31.28	0.026400000000000007
R1	2011-08-22	2011-08-07	-62.1776204178	-58.902405662700005	82.0	15	0.4064	33.92	0.06719999999999998
R1	2011-09-06	2011-08-22	-62.1776204178	-58.902405662700005	82.0	15	0.39289999999999997	40.64	-0.013500000000000014
R1	2011-09-22	2011-09-06	-62.1776204178	-58.902405662700005	82.0	16	0.41229999999999994	39.29	0.019399999999999976
R1	2011-10-06	2011-09-22	-62.1776204178	-58.902405662700005	82.0	14	0.5046	41.23	0.09230000000000003
R1	2011-10-20	2011-10-06	-62.1776204178	-58.902405662700005	82.0	14	0.5254800000000001	50.46	0.02088000000000001
R1	2011-11-17	2011-10-20	-62.1776204178	-58.902405662700005	82.0	28	0.60016	52.548	0.07467999999999997
R1	2011-12-04	2011-11-17	-62.1776204178	-58.902405662700005	82.0	17	0.5733400000000001	60.016	-0.02681999999999995
R1	2011-12-19	2011-12-04	-62.1776204178	-58.902405662700005	82.0	15	0.32520000000000004	57.334	-0.24814
R1	2012-01-07	2011-12-19	-62.1776204178	-58.902405662700005	82.0	19	0.12689999999999999	32.52	-0.19830000000000006
R1	2012-01-20	2012-01-07	-62.1776204178	-58.902405662700005	82.0	13	-0.040999999999999995	12.69	-0.1679
R1	2012-02-04	2012-01-20	-62.1776204178	-58.902405662700005	82.0	15	-0.46	-4.1	-0.419
R1	2012-02-19	2012-02-04	-62.1776204178	-58.902405662700005	82.0	15	-0.685	-46.0	-0.225
R1	2012-03-04	2012-02-19	-62.1776204178	-58.902405662700005	82.0	14	-0.982	-68.5	-0.29700000000000004
R1	2012-03-17	2012-03-04	-62.1776204178	-58.902405662700005	82.0	13	-1.306	-98.2	-0.3239999999999999
R1	2012-03-30	2012-03-17	-62.1776204178	-58.902405662700005	82.0	13	-1.315	-130.6	-0.009000000000000057
R1А	2007-11-08	2007-11-08	-62.1769641417	-58.900501078699996	96.0	0	0.768	0.0	0.768
R1А	2007-12-09	2007-11-08	-62.1769641417	-58.900501078699996	96.0	31	0.8532	76.8	0.08519999999999996
R1А	2007-12-18	2007-12-09	-62.1769641417	-58.900501078699996	96.0	9	0.86355	85.32	0.010350000000000107
R1А	2007-12-26	2007-12-18	-62.1769641417	-58.900501078699996	96.0	8	0.8184	86.355	-0.04515
R1А	2008-01-05	2007-12-26	-62.1769641417	-58.900501078699996	96.0	10	0.62	81.84	-0.19840000000000002
R1А	2008-01-12	2008-01-05	-62.1769641417	-58.900501078699996	96.0	7	0.63119	62.0	0.011189999999999999
R1А	2008-01-19	2008-01-12	-62.1769641417	-58.900501078699996	96.0	7	0.58528	63.119	-0.04591000000000001
R1А	2008-01-26	2008-01-19	-62.1769641417	-58.900501078699996	96.0	7	0.41396	58.528	-0.17131999999999997
R1А	2008-02-02	2008-01-26	-62.1769641417	-58.900501078699996	96.0	7	0.30562	41.396	-0.10833999999999999
R1А	2008-02-09	2008-02-02	-62.1769641417	-58.900501078699996	96.0	7	0.32076	30.562	0.015139999999999994
R1А	2008-02-16	2008-02-09	-62.1769641417	-58.900501078699996	96.0	7	0.1164	32.076	-0.20435999999999999
R1А	2008-02-24	2008-02-16	-62.1769641417	-58.900501078699996	96.0	8	-0.048	11.64	-0.16440000000000002
R1А	2008-03-02	2008-02-24	-62.1769641417	-58.900501078699996	96.0	7	-0.12	-4.8	-0.07200000000000001
R1А	2008-03-07	2008-03-02	-62.1769641417	-58.900501078699996	96.0	5	-0.322	-12.0	-0.20200000000000004
R1А	2008-03-09	2008-03-07	-62.1769641417	-58.900501078699996	96.0	2	-0.349	-32.2	-0.026999999999999958
R1А	2008-11-03	2008-03-09	-62.1769641417	-58.900501078699996	96.0	239	0.56088	-34.9	0.90988
R1А	2008-11-13	2008-11-03	-62.1769641417	-58.900501078699996	96.0	10	0.5096	56.088	-0.05128
R1А	2008-11-21	2008-11-13	-62.1769641417	-58.900501078699996	96.0	8	0.48776	50.96	-0.021839999999999974
R1А	2008-11-28	2008-11-21	-62.1769641417	-58.900501078699996	96.0	7	0.4318	48.776	-0.05596000000000004
R1А	2008-12-05	2008-11-28	-62.1769641417	-58.900501078699996	96.0	7	0.3311	43.18	-0.1007
R1А	2008-12-09	2008-12-05	-62.1769641417	-58.900501078699996	96.0	4	0.35673	33.11	0.025630000000000024
R1А	2008-12-13	2008-12-09	-62.1769641417	-58.900501078699996	96.0	4	0.3055	35.673	-0.05123000000000001
R1А	2008-12-19	2008-12-13	-62.1769641417	-58.900501078699996	96.0	6	0.20046	30.55	-0.10504000000000001
R1А	2008-12-26	2008-12-19	-62.1769641417	-58.900501078699996	96.0	7	0.12115999999999999	20.046	-0.0793
R1А	2009-01-02	2008-12-26	-62.1769641417	-58.900501078699996	96.0	7	0.10164	12.116	-0.01952
R1А	2009-01-09	2009-01-02	-62.1769641417	-58.900501078699996	96.0	7	-0.008199999999999999	10.164	-0.10984
R1А	2009-01-17	2009-01-09	-62.1769641417	-58.900501078699996	96.0	8	-0.2532	-0.82	-0.245
R1А	2009-01-24	2009-01-17	-62.1769641417	-58.900501078699996	96.0	7	-0.21719999999999998	-25.32	0.03600000000000001
R1А	2009-01-30	2009-01-24	-62.1769641417	-58.900501078699996	96.0	6	-0.36119999999999997	-21.72	-0.144
R1А	2009-01-31	2009-01-30	-62.1769641417	-58.900501078699996	96.0	1	-0.37920000000000004	-36.12	-0.018000000000000044
R1А	2009-02-06	2009-01-31	-62.1769641417	-58.900501078699996	96.0	6	-0.43320000000000003	-37.92	-0.053999999999999986
R1А	2009-02-13	2009-02-06	-62.1769641417	-58.900501078699996	96.0	7	-0.6312	-43.32	-0.19799999999999998
R1А	2009-02-21	2009-02-13	-62.1769641417	-58.900501078699996	96.0	8	-0.6762	-63.12	-0.04500000000000007
R1А	2009-02-28	2009-02-21	-62.1769641417	-58.900501078699996	96.0	7	-0.8652	-67.62	-0.18899999999999992
R1А	2009-03-01	2009-02-28	-62.1769641417	-58.900501078699996	96.0	1	-0.8562000000000001	-86.52	0.008999999999999914
R1А	2009-03-27	2009-03-01	-62.1769641417	-58.900501078699996	96.0	26	-1.3422	-85.62	-0.48599999999999993
R1А	2009-11-12	2009-03-27	-62.1769641417	-58.900501078699996	96.0	230	0.9179999999999999	-134.22	2.2601999999999998
R1А	2009-12-13	2009-11-12	-62.1769641417	-58.900501078699996	96.0	31	1.0454999999999999	91.8	0.1275
R1А	2009-12-21	2009-12-13	-62.1769641417	-58.900501078699996	96.0	8	0.8855	104.55	-0.16
R1А	2009-12-28	2009-12-21	-62.1769641417	-58.900501078699996	96.0	7	0.7479	88.55	-0.13759999999999992
R1А	2010-01-11	2009-12-28	-62.1769641417	-58.900501078699996	96.0	14	0.7431	74.79	-0.0048000000000000395
R1А	2010-01-18	2010-01-11	-62.1769641417	-58.900501078699996	96.0	7	0.6195	74.31	-0.12359999999999999
R1А	2010-01-25	2010-01-18	-62.1769641417	-58.900501078699996	96.0	7	0.5243	61.95	-0.09520000000000003
R1А	2010-02-01	2010-01-25	-62.1769641417	-58.900501078699996	96.0	7	0.5393	52.43	0.015
R1А	2010-02-15	2010-02-01	-62.1769641417	-58.900501078699996	96.0	14	0.509	53.93	-0.03030000000000001
R1А	2010-02-22	2010-02-15	-62.1769641417	-58.900501078699996	96.0	7	0.479	50.9	-0.03
R1А	2010-03-01	2010-02-22	-62.1769641417	-58.900501078699996	96.0	7	0.4892	47.9	0.010200000000000032
R1А	2010-03-08	2010-03-01	-62.1769641417	-58.900501078699996	96.0	7	0.359	48.92	-0.13020000000000004
R1А	2010-03-15	2010-03-08	-62.1769641417	-58.900501078699996	96.0	7	0.31010000000000004	35.9	-0.04889999999999997
R1А	2010-03-23	2010-03-15	-62.1769641417	-58.900501078699996	96.0	8	0.3354	31.01	0.025299999999999975
R1А	2010-03-29	2010-03-23	-62.1769641417	-58.900501078699996	96.0	6	0.4218	33.54	0.0864
