Date/Time	Event	Latitude	Longitude	Elevation [m]	Diff
2013-03-06	PG08	-62.235664	-58.62324	159.1	-0.26
2013-04-11	PG08	-62.235664	-58.62324	159.1	-0.68
2013-05-04	PG08	-62.235664	-58.62324	159.1	-0.04
2013-05-24	PG08	-62.235664	-58.62324	159.1	0.17
2013-06-25	PG08	-62.235664	-58.62324	159.1	0.48
2013-07-24	PG08	-62.235664	-58.62324	159.1	0.37
2013-08-01	PG08	-62.235664	-58.62324	159.1	0.04
2013-08-24	PG08	-62.235664	-58.62324	159.1	0.6
2013-09-12	PG08	-62.235664	-58.62324	159.1	-0.1
2013-09-27	PG08	-62.235664	-58.62324	159.1	0.0
2013-10-10	PG08	-62.235664	-58.62324	159.1	-0.15
2013-10-20	PG08	-62.235664	-58.62324	159.1	-0.16
2013-11-06	PG08	-62.235664	-58.62324	159.1	-0.25
2013-11-26	PG08	-62.235664	-58.62324	159.1	-0.1
2013-12-16	PG08	-62.235664	-58.62324	159.1	0.11
2014-01-03	PG08	-62.235664	-58.62324	159.1	0.0
2014-01-21	PG08	-62.235664	-58.62324	159.1	-0.36
2014-01-31	PG08	-62.235664	-58.62324	159.1	0.09
2014-02-10	PG08	-62.235664	-58.62324	159.1	0.28
2014-02-18	PG08	-62.235664	-58.62324	159.1	-0.29
2014-02-28	PG08	-62.235664	-58.62324	159.1	-0.15
2014-03-10	PG08	-62.235664	-58.62324	159.1	-0.22
2014-03-23	PG08	-62.235664	-58.62324	159.1	0.36
2014-04-09	PG08	-62.235664	-58.62324	159.1	-0.09
2014-04-30	PG08	-62.235664	-58.62324	159.1	-0.07
2014-05-09	PG08	-62.235664	-58.62324	159.1	0.05
2014-05-22	PG08	-62.235664	-58.62324	159.1	0.22
2014-06-05	PG08	-62.235664	-58.62324	159.1	0.24
2014-06-19	PG08	-62.235664	-58.62324	159.1	0.15
2014-07-11	PG08	-62.235664	-58.62324	159.1	0.13
2014-07-31	PG08	-62.235664	-58.62324	159.1	0.03
2014-08-30	PG08	-62.235664	-58.62324	159.1	0.05
2014-09-10	PG08	-62.235664	-58.62324	159.1	0.04
2014-09-29	PG08	-62.235664	-58.62324	159.1	0.25
2014-10-31	PG08	-62.235664	-58.62324	159.1	-0.05
2014-11-15	PG08	-62.235664	-58.62324	159.1	0.09
2014-11-30	PG08	-62.235664	-58.62324	159.1	0.12
2014-12-12	PG08	-62.235664	-58.62324	159.1	0.01
2014-12-30	PG08	-62.235664	-58.62324	159.1	-0.09
2015-01-14	PG08	-62.235664	-58.62324	159.1	-0.12
2015-01-26	PG08	-62.235664	-58.62324	159.1	-0.33
2015-02-06	PG08	-62.235664	-58.62324	159.1	-0.62
2015-02-24	PG08	-62.235664	-58.62324	159.1	-0.42
2015-03-14	PG08	-62.235664	-58.62324	159.1	0.07
2015-03-29	PG08	-62.235664	-58.62324	159.1	-0.21
2015-04-13	PG08	-62.235664	-58.62324	159.1	-0.06
2015-05-02	PG08	-62.235664	-58.62324	159.1	-0.02
2015-05-19	PG08	-62.235664	-58.62324	159.1	-0.1
2015-06-17	PG08	-62.235664	-58.62324	159.1	0.52
2015-07-13	PG08	-62.235664	-58.62324	159.1	0.24
2015-07-29	PG08	-62.235664	-58.62324	159.1	-0.01
2015-08-21	PG08	-62.235664	-58.62324	159.1	0.0
2015-09-14	PG08	-62.235664	-58.62324	159.1	0.02
2015-10-08	PG08	-62.235664	-58.62324	159.1	-0.06
2015-10-27	PG08	-62.235664	-58.62324	159.1	0.33
2015-11-19	PG08	-62.235664	-58.62324	159.1	0.45
2015-12-01	PG08	-62.235664	-58.62324	159.1	-0.22
2015-12-26	PG08	-62.235664	-58.62324	159.1	-0.19
2016-01-04	PG08	-62.235664	-58.62324	159.1	-0.46
2016-02-17	PG08	-62.235664	-58.62324	159.1	-0.03
2016-02-25	PG08	-62.235664	-58.62324	159.1	-0.4
2016-03-10	PG08	-62.235664	-58.62324	159.1	-0.24
